Time Stamp,pos X,pos Y,speed X,speed Y
117,519.5471218175363,571.2449451379523,5,-2.141081798568044
118,524.5471218175363,567.7444193745639,5,-3.500525763388395
119,529.5471218175363,562.8549690897938,5,-4.889450284770051
120,534.5471218175363,557.8549690897938,5,-5
121,539.5471218175363,552.8549690897938,5,-5
122,544.5471218175363,547.8549690897938,5,-5
123,549.5471218175363,542.8549690897938,5,-5
124,554.5471218175363,537.8549690897938,5,-5
125,559.5471218175363,532.8549690897938,5,-5
126,564.5471218175363,527.8549690897938,5,-5
127,569.5471218175363,522.8549690897938,5,-5
128,574.5471218175363,517.8549690897938,5,-5
129,579.5471218175363,512.8549690897938,5,-5
130,584.5471218175363,507.8549690897938,5,-5
131,589.5471218175363,502.8549690897938,5,-5
132,594.5471218175363,497.8549690897938,5,-5
