Time Stamp,pos X,pos Y,speed X,speed Y
44,674.1154429944609,275.6845816422646,1.8308740024172172,0.8139628345539514
45,676.1636209819437,278.4867041731394,2.0481779874828168,2.8021225308748
46,679.1614544191605,279.52866917504394,2.9978334372167224,1.0419650019045394
47,682.5793451235263,278.61524370639916,3.417890704365842,-0.9134254686448118
48,686.0296665903218,275.7020811936287,3.4503214667954247,-2.913162512770423
49,688.8506372033878,270.8905200127935,2.8209706130660717,-4.811561180835204
50,689.8164807730367,265.8905200127935,0.965843569648893,-5
51,689.1533939651162,262.0509448595766,-0.663086807920507,-3.8395751532168862
52,687.8620481339569,260.11012998604724,-1.2913458311592665,-1.940814873529353
53,687.3299369938533,260.01960230209085,-0.5321111401036925,-0.09052768395640798
54,688.7965242578008,259.8569310831298,1.4665872639475617,-0.16267121896107864
55,691.6516319479268,258.2548116969584,2.8551076901260624,-1.602119386171373
56,694.9463732556652,254.70160997468096,3.294741307738322,-3.5532017222774526
57,696.8076251280223,249.75373695111045,1.8612518723571085,-4.947873023570502
58,696.7537008659181,245.38214543339402,-0.05392426210430967,-4.371591517716445
59,695.0837791903986,242.18892243181992,-1.669921675519476,-3.1932230015741085
60,691.9836169499124,240.3937022651227,-3.1001622404861466,-1.7952201666972196
61,687.5292120001978,240.07022483562577,-4.454404949714537,-0.3234774294969467
62,683.8860482491102,237.9186643342608,-3.6431637510876556,-2.151560501364968
63,681.656684201162,234.35247653236644,-2.229364047948306,-3.5661878018943645
64,681.4234429589852,230.66181486060876,-0.23324124217676445,-3.690661671757673
65,680.9937842457417,228.96148486398963,-0.4296587132435231,-1.700329996619145
66,679.450069761942,228.92214244712247,-1.5437144837997336,-0.03934241686714457
67,679.0050362702666,227.21160283137522,-0.44503349167539974,-1.7105396157472437
68,679.7878251645509,223.9223130173584,0.7827888942843042,-3.2892898140168176
69,682.3917720527072,219.80635303855027,2.603946888156308,-4.115959978808131
70,683.6351311811409,217.15627195927408,1.2433591284336745,-2.6500810792762
71,683.4801367920525,215.93608858264435,-0.15499438908841068,-1.2201833766297445
72,682.0093644254412,216.22213504035784,-1.4707723666113304,0.2860464577135058
73,682.1440571513812,215.31550306840177,0.13469272594002257,-0.906631971956066
74,683.8316192398744,213.14847562563364,1.6875620884932463,-2.167027442768122
75,687.0898262395498,209.7432743004978,3.25820699967542,-3.4052013251358373
76,691.9932501851171,205.20085654875257,4.903423945567294,-4.542417751745221
77,696.9932501851171,200.20085654875257,5,-5
78,701.9932501851171,195.9305393197506,5,-4.270317229001961
79,706.9932501851171,192.94341792938178,5,-2.9871213903688307
80,711.9932501851171,191.12833847567956,5,-1.815079453702227
81,716.9932501851171,190.11564123895386,5,-1.0126972367256992
82,721.9932501851171,189.52248174451273,5,-0.5931594944411168
83,726.9932501851171,189.1152792611907,5,-0.4072024833220425
84,731.9932501851171,188.80139090874513,5,-0.3138883524455564
85,736.9932501851171,188.5740244311746,5,-0.2273664775705349
86,741.9932501851171,188.47025218384425,5,-0.10377224733032753
87,746.9932501851171,188.54499487339783,5,0.07474268955357721
88,751.9932501851171,188.85519861066126,5,0.3102037372634492
89,756.9932501851171,189.44986141525314,5,0.5946628045918855
90,761.9932501851171,190.36307888660394,5,0.913217471350804
91,766.9932501851171,191.60787153199436,5,1.2447926453904157
92,771.9932501851171,193.2033915271766,5,1.5955199951822265
93,776.9932501851171,195.18541958896205,5,1.982028061785464
94,781.9932501851171,197.61586949946823,5,2.43044991050617
95,786.9932501851171,200.59431607423596,5,2.9784465747677324
96,791.9932501851171,204.27244740561153,5,3.6781313313755644
97,796.9932501851171,208.87158406162933,5,4.599136656017793
98,801.9932501851171,213.87158406162933,5,5
99,806.9932501851171,218.87158406162933,5,5
100,811.9932501851171,223.87158406162933,5,5
101,816.9932501851171,228.87158406162933,5,5
102,821.9932501851171,233.87158406162933,5,5
103,826.9932501851171,238.87158406162933,5,5
104,831.9910457260818,243.87158406162933,4.997795540964698,5
